Sentence,Emotion 1,Emotion 2
A real curiosity but definitely not for the faint hearted or those expecting political correctness.,Disgust,
A real disappointment as we had seen the main lunch menu and certainly for the money paid this was not a good experience.,Sadness,
"A real feel good show that for the feet tapping, the hands clapping (and today the tears rolling for some).",Joy,
A really lovely evening - I think we were the oldest there but felt very relaxed and all the customers were friendly and good company.,Joy,
"A really nice relaxing time, we thought this was good value for money and a relaxing start to our holiday.",Joy,
"A simple design will entertain the ""child"" in all of us and is a lovely experience and surprisingly good fun.",Surprise,
"A special mention for the security team - you need to respect people more, you act like you have legal powers, but are above the law yourselves!",Anger,
A very disappointing trip after building up my grandson to the trip I feel I let him down badly.,Sadness,
A very pleasant all-round experience in an excellent facility which fully complemented this lovely hotel.,Trust,
"A wonderful place to come and relax in the sun during the summer months, bring a picnic and enjoy the peace...",Anticipation,
A wonderful shop to visit plenty of oddities and would recommend visiting this lovely little shop :),Surprise,
A wonderful sweet shop in the heart of Hebden Bridge with the best selection of traditional sweets and chocolate!,Joy,
"A wonderfully pleasant surprise, which kept the entire family entertained, and also wonderful value for money.",Surprise,
A word of advice- pay a bit more for a proper spa as this isn't worth the time or money.,Disgust,Anger
"Absolutely awful visit, food awful, toilets disgusting and baby change even worse!!!",Disgust,
"Absolutely awful, don't bother wasting your money just a bunch of moving pictures that makes you feel sick.",Anger,
"Absolutely brilliant for aeroplane lovers, quite good for children, fairly good for the average person.",Joy,
Absolutely shameful behaviour although I doubt he feels any shame whatsoever for how he treated me.,Disgust,
Adventure valley is a lovely place every time we go we have a good time with family and friends.,Joy,
Advice to persons looking for a true spa experience avoid this overpriced under delivering overrated spa.,Disgust,
"Advice, visit Stranraer where you will find lots of small gift shops where you will be served with a smile.",Joy,
After a long day we left feeling disappointed and that the zoo was overpriced and not as good as we remembered from previous visits.,Sadness,
After a very long wait we finally managed to get into the changing rooms and get ready to swim.,Sadness,
"After calling their ridiculous call center, being spoken to like we were idiots, we didn't actually want to enter the spa.",Anger,Disgust
After expecting to have felt like a kid in a sweet shop here I was left with a bitter taste in the mouth.,Surprise,
"After having the memory of visiting many a 'working farm' with my children when they were young, I had high expectations . .",Anger,
After hearing good things about this place and it being recommended by a colleague I brought my mother for a rare mother and daughter treat.,Anticipation,
"After icon we left the park as there was no hope, I felt bad for the staff I have never had any issues like this before!",Sadness,
After long drive arrived to find endless queue and advised to come back tomorrow - very disappointing for children.,Sadness,
"After paying a substantial entrance fee, we should have been informed before we paid, that most of the wildlife were not on show, we feel we were conned, to say the least.",Anger,
After paying for a holiday you would expect to walk into a safe and clean environment to relax and enjoy your break!,Anticipation,
"After paying the sort of money we did, I and my friends would expect to be treated with some respect.",Anticipation,
After queueing for aprox 25 minutes we finally got served only to find they had then stopped serving food?,Surprise,
"After receiving a gift voucher for me and my mum at Christmas for a Spa treatment at Bannatyne Spa, we were ready for some relaxation on our time off.",Sadness,
"After spending all day driving and the children very excited, we arrived , paid and then waited at the cavern for the tour to begin.",,
After the show we had the same great and friendly support from volunteers guiding us towards the buses- again no queue and efficient service.,Joy,
"After this disaster of a visit, I can say there is no appeal to return, I feel like I wasted my money and day.",Sadness,
After this it took all the fun out of the game and we came away feeling like the whole thing had been a waste of time and money.,Sadness,
"After this we enjoyed a wonderful trek with Beth who was friendly and always checking that we were okay, providing reassurance and instruction when needed.",Joy,
"After waiting so long to choose the perfect time for this 'beauty' treatment, I felt very let down and disappointed and could not recommend it at all.",Sadness,
Again aware of the rules and my friend was happy to show proof but the manner and disgusting tone of voice in which it was said was unacceptable.,Disgust,
All clubs have to make money but surely not at the expense of the genuine supporters who are willing to pay but expect value for money.,Disgust,
All I can do is hope that Kidzania starts thinking about the actual kids who are there to have a fun time and not the money.,Sadness,
"All I can say is we had a fantastic afternoon, the show is a real feel-good musical.",Trust,
All I could think about was how hard it would be to get to the fire exit if god forbid there was a fire alarm.,Fear,
All in all a disappointing trip and we left the attraction feeling quite depressed.,Sadness,
"All in all a great day, for the package deal that we bought we both felt we had value for money and came away feeling relaxed.",Joy,
All in all I would never attend this zoo again and I feel that the way the staff handle their customers with a concern is appalling.,Anger,
"All in all the visit was brilliant, we had a good time and felt it was good value for money.",Joy,
All in all the whole experience felt like money was the most important thing to this company not my experience.,Sadness,
"All in all we have had a good day, we had a very good lunch in the cafe and the gift shop is lovely with reasonably priced goods for all ages.",Joy,
All in all we left disappointed and felt like it wasn't worth the money our friend had spent for our vouchers!,Disgust,
All in all Winterbourne house used this purely as a MONEY making exercise and provided neither entertainment or value for money.,Disgust,
"All in all, I liked the park, good for kids, but I doubt you'll be receiving any money off me ever again, you rude bunch of people!!",Anger,
"All in all, it wasn't a -bad- show, just pricey and not the authentic Scottish experience we were expecting and hoping for.",Sadness,
"All in all, we had a very pleasant time today, we spent a good few hours here for a brilliant price and the kids had a lovely time.",Joy,
All of the exhibits feel like filler to make paying £14.50 for the main show feel worth while.,Anger,
All of this I found stressful but the worst aspect of my visit was seeing the obvious distress the majority of the zoo animals were in.,Disgust,
"All sorts of new ideas created for me and Turan is a wonderful instructor - very professional, but friendly and so passionate about what he shares with you.",Trust,
"All staff we came across were most friendly and courteous, and we came away feeling that a very good day out had been had.",Trust,
All the management care about is money not any kind of good experience- avoid.,Disgust,
"All the rides are fantastic fun and we really enjoyed the time spent on them, most are worth the rather long waiting times.",Anticipation,
"All the signage up is about selling you other experiences, rather than helping you enjoy the experience you have just paid a lot of money for.",Anger,
"All the staff we met were very pleasant and knowledgeable, the shop was very good and there is a pleasant coffee shop.",Trust,
"All the volunteers are eager to share their information and everyone so friendly, you feel welcomed and comfortable.",Trust,
"All these creatures have feelings, if you hurt them they feel just like us, and if they are neglected, then those people are guilty of abusing them!",Sadness,
Along with our three young grandchildren we enjoyed a wonderful day out in glorious weather in this enchanting zoo.,Joy,
"Also there was plenty of security about to made you feel safe but they were not your typical security at all but friendly, helpful and chatty.",Trust,
Although they must have felt pretty shot down when some venue staff were feeling irritated by the music.,Sadness,
"Although we hadn't paid for instruction, we received some helpful tips from the instructors who were good fun and very competent.",Surprise,
"Altogether a good day out in a lovely environment with amazingly friendly, funny, lovely volunteer helpers.",Joy,
Alton Towers do NOT compensate visitors for wasting their time and money.,Anger,
Alton Towers now attempts to extort money at every opportunity leaving guests feeling ripped off and disappointed.,Anger,
Am sure there's some kind of law that if you are providing food and seating you have to provide a toilet!!!!!,Disgust,
Amazing shop and tourist shop takes a while to go round the shop and the shop assistants very helpful and friendly.,Joy,
"An awful, awful afternoon and a complete waste of my money as the beauty of the house was completely lost on me.",Disgust,
An excellent National Trust property set in lovely grounds and with a very good tea shop and restaurant.,Joy,
"An excellent show, loved all the effects and the volunteers did a brilliant job.",Joy,
"An intimate setting, excellent acoustics, attentive and lovely staff, good food.",Trust,
And don't forget when you order that you can offer to pay only two-thirds of the price; the manager will no doubt fully understand and support you.,Trust,
And I can pretty much guarantee that when I do finally make it in I'll love it and it'll get the full five stars from me.,Trust,
and I challenge anyone to visit the zoo and not leave angry at the way people can treat some of these animals in the wild.,Anger,
"and I feel bad for saying this but the place smelled faintly of vomit and with my really sensitive nose, I felt I had to get out of there.",Disgust,
And I feel that it is a misleading deal as I was hoping for a better spa experience.,Anger,
"and I felt sorry for her, I felt she was unhinged in some way or suffering from stress or money problems.",Sadness,
And it disgusts me that management treat visitors with such hostility at a child's birthday party!,Disgust,
And that's simply not good value for money as it feels like a total cash cow.,Disgust,
"And the horrendous smell of cheap chocolate is unbearable, I had to hold my scarf over my nose to stop from gagging at the overpowering smell.",Disgust,
"and there was a bit of a food rush, however for that kind of service and product and no apology/discount I feel it deserves a warning to others.",Disgust,
Animals looked miserable and uncared for and about as happy to be there as the staff Feel sorry for the animals shocking how they are treated.,Sadness,
Any vestige of enthusiasm is overshadowed by this rudeness from audience who even several dirty looks don't deter.,Joy,
"Anyway, the lesson was not what we expected, we felt like an inconvenience and the instructor wasn't the most helpful.",Sadness,
"Apparently he has cancer and is being treated, but he looked so ridiculously unhappy that it felt cruel having him on display.",Sadness,
"Arrival at the spa was lovely, it's set in some lovely surroundings so you really feel like you can get away from it all.",Joy,
"Arrived this morning, hoping for a quiet and peaceful start to our holiday.",Anticipation,
"As a family of 4 we had a great time at Alton Towers, the children enjoyed the rides and the fireworks were spectacular.",Surprise,
"As a first time spa-goer here I was rather nervous about visiting the spa, this was a birthday treat for my partner.",Fear,
"As a lover of mainstream chocolate through to artisan chocolate, I was expecting good things from my local chocolatier.",Anger,
"As a new Mum my husband thought a gift of spa vouchers would be a lovely, relaxing treat.",Joy,
"As a previous advocate for the company and potential paying customers this is not how we expect to find an ""award winning"" attraction.",Disgust,
"As ever, the volunteers were as good as anyone good hope for - enthusiastic, knowledgeable and always willing to assist.",Trust,
"As I left I was asked if I enjoyed my visit and explained that I felt it was overpriced, but really they were not interested in negative feedback.",Anger,
As it was my mum was very upset that I had to try and navigate the grounds which left me exhausted and upset.,Sadness,
As my partner booked this to treat me I feel he has been ripped off and he felt sad as he wanted to treat me and was left feeling very let down.,Sadness,
As such a lot of money had been spent on building I would have thought it could have been made more child friendly and accessible for children.,Anger,
"As they finished I thought okay, peace and quiet now, but no, new children came in and it all started again.",Anger,
As time went on it began to irritate my nose and progressed to the point that I was feeling sick and gagged.,Disgust,
As usual the coach was a good distance away and my wife who has just had knee surgery found it difficult getting to the coach.,Sadness,
As usual the volunteer staff are very helpful and there is a large shop and garden nursery.,Trust,
"As usual with zoos though, the animals looked mostly miserable and unhealthy, though they did distract us from our own disenchantment.",Disgust,
"As usual, the volunteers were brilliant - the room guides are knowledgeable and the chap who led our tour of the private apartments was superb.",Trust,
"As we are not National Trust members we paid for the tour but felt it was good value for money, definitely recommended.",Joy,
As we came out we went through the gift shop all I can say is wonderful lovely gifts to remember your visit.,Joy,
As we have a holiday home in the area I can imagine we will come back and I hope that more attention will be paid to urgent repairs before then.,Anticipation,
As we were on a time schedule felt we rushed the rest of the museum but what I saw was good and we all enjoyed it despite the crowds!,Joy,
"As with large crowds comes the pushing, lack of respect for personal space and constant interruption of others to your experience.",Anger,
"As you approach and the towers start to loom over you, you begin to understand why this is a place of beauty and of dread.",Fear,
"As you would expect very busy on school holidays, kids enjoyed it and some good rides for the adults, good parking.",Anticipation,
"As you'd expect from a chocolate factory the hot chocolate was good, served with a chocolate 'shot'.",Joy,
"Aside from that it was a very lovely stay and we would highly recommend it for its relaxation, good food and wonderful spa facilities.",Surprise,
"Aside from the eatery, the rest of the shops are lovely, nice and quaint exactly what you'd expect to find in the countryside.",Joy,Trust
"At the end of the day the grandchildren enjoyed time in the adventure playground, and then on the big slide in the barn.",Joy,
"At the end of the ritual I was treated to herb tea, cake and Turkish delight, what a lovely birthday treat!",Surprise,
"At the end of the trip, we went to the gift shop which is wonderful, good value and so on.",Joy,
At the end you are finally encouraged to get up and dance and sing and it felt wonderful.,Joy,
"At the top of the street is a National Trust shop with very helpful, friendly assistants.",Trust,
"At this time we realised that our longed for, relaxing spa day was not the pamper experience we had paid for and expected.",Sadness,
Attached restaurant also offers good food and good cakes plus helpful and friendly staff.,Joy,
attended the switch on as we do every year was brilliant well patrolled and lovely entertainment love the illuminations,Trust,
Attended with a friend for a much-needed relaxing spa day where we were greeted by a friendly attentive receptionist in the spa.,Trust,
Attractive shop with a good selection of crafts and cards and a helpful friendly lady called Belinda.,Trust,
Audio guide was good but the kids were raving about their guide and found it great.,Joy,Trust
Average experience spoiled by a Charitable Trust that seems more concerned with making money than offering value for money!,Anger,
Avoid going here until the management can convince you that they employ serious staff devoted to providing an excellent service.,Anger,
Awful cafe felt like old fashioned youth hostel.,Joy,
"Awful place , awful Service , and an antisocial and aggressive attitude from the locals -Worth avoiding",Disgust,
"Awful station with miserable, can't-be-bothered staff, difficult to find what you want and underground is sheer hell.",Disgust,
"Awful toilets, terrible queue for two toilets and the mess in there was a little disgusting.",Disgust,
Back in the day there use to be jugglers and entertainment on every holiday time and I feel now that the spirit of the place is no longer there.,Sadness,
"Back then, we enjoyed a fantastic adventure playground next to some delightful barns where there were rural crafts happening.",Joy,
"Barnstable is a nice town, very clean and friendly and there are plenty of shops to keep you happy if you like shopping.",Joy,
"Basically, save your cash, over priced, over grown, long walk with bored, frustrated children was not a fun experience!",Anger,
Bearing in mind we spent over £100 to make ourselves feel good we came away feeling scarred and ripped off.,Anger,
"Bearing in mind what you spend overall on you holiday, this was a pleasurable and value for money treat to start our holiday.",Joy,
Beautiful park with trees a pond and wildlife I have the opportunity to visit in the spring as the trees and flowers started to bloom.,Anticipation,
Because part of the park was closed the admission was discounted so we felt we got good value for money.,Trust,
Been coming to Citi Spa for a while now and every time have left feeling good.,Joy,
Been here about 6 times now and first two times the food was good and most recently it exceeded my expectations of good.,Surprise,
"Before entering the theatre, I prepared myself for a feel good show full of bright costumes, lights and excellent dancing.",Anticipation,Joy
"Being a zoo, I expected the layout to be formed as a circle so it would be easy to follow but instead it felt more like a maze.",Disgust,
"Being loyal customers, we paid the full amount and had a great night, the man serving was very helpful and so apologetic.",Trust,
"Being pedestrianised, Buchanan Street provides a safe and pleasant environment for browsing the many good shops that can be found there.",Joy,
"Besides the golf, the staff were attentive and friendly and the food very good, well presented and good value.",Trust,
Best for age 5 and under really but lovely and clean with good coffee and good food.,Joy,
"Best idea is to walk across to cafe in Stockgrove , good honest food and always a smile from the team there !",Joy,
"Best take your own picnic and avoid food areas completely, just enjoy the trees.",Anticipation,
beware of young children treating it as a playground and parents thinking that their buggies have right of way over everyone else...,Sadness,
"Beware, even if you request a refund, as my daughter did for my Birthday present, they will treat it as a donation and your money will be lost.",Anger,
Booked a day spa with my daughter as a pre-uni treat and have to admit came away feeling disappointed.,Disgust,
"Booked as part of a birthday celebration, the staff were friendly and engaging and the experience was great value for money and fun",Joy,
Booked this for my birthday with a group of friends and we were all really excited about Escape Plan but in reality it exceeded our expectations.,Anger,
Booked this last minute in a deal as a result of lots of hype and high hopes of being terrified!,Fear,
"Both instructors (Daniel and Kate) provided safe, enjoyable lessons with a real personal feel.",Trust,
"Both of us were stunned and very upset by this man's inexplicable attitude and rudeness, and what was already a difficult day was utterly ruined.",Fear,
Both the lady that I complained to and someone called Paul the manager were really unpleasant to me and made me feel very humiliated and upset.,Anger,
"both visits i felt were good value for money, but low season price really does seem too good to be true!",Joy,
Breakfast was good and offered a wide choice and the serving staff were helpful and friendly.,Joy,
"Brilliant experience, what a great passionate team Would recommend this for sure, the cars & instructors were excellent.",Surprise,
"Brilliant relaxing areas, pool and general good quality feel good boost.",Trust,
Brilliant venue friendly staff clean atmosphere safe and felt at ease while we was in there good location,Trust,
Brilliant volunteers and refreshing to see so many young people volunteering and enjoying their hobby.,Joy,
"Building was fairly easy to find from our hotel, the staff were friendly and like Natalie were very friendly and up for a laugh",Joy,
But for the rest of us the obsequious sycophancy of the guides fawning over dead royals is quite vomit inducing.,Surprise,
"but I do not mind paying to enter somewhere like that, in fact I am more than happy to do so to help support it.",Trust,
but I feel in this case describing my experience is a necessary evil in the hope it leads to an improvement.,Anticipation,
"But I felt it would be my honest review of how I felt about the zoo ...fabulous and well worth the visit, and the money ...",Trust,
But I find it indicative of this park that they get so much abuse that they feel they need to warn customers against this at the guest services.,Anger,
But I found the lessons to be excellent with qualified instructors and a good selection of well schooled and cared for horses.,Joy,
but I hope people see this and choose another zoo as yours certainly doesn't deserve people's money,Disgust,
but I just felt quite disappointed and sad as we came away as I felt like he wasted his money on the experience.,Sadness,
But I kind of expected to be given time in a lane where you can just have a great time with my partner and fully enjoy the time together.,Sadness,
But I really feel with just a bit of thought and some extra details it could be a really lovely destination spa.,Sadness,
"But I wanted more time to enjoy them & take some nice pics, after all £39 later is expect to have more time to enjoy the caves!",Anger,
but I was expecting good service a smile and a few good manners none of these were evident.,Surprise,
but I would have happily continued to pay for parking and enjoy Wimpole the way we all loved to enjoy it.,Trust,
but I would not recommend going to this spa if you are looking for a relaxing experience / as a treat - it is the least relaxing/peaceful spa I have been to.,Anger,
But if this happens again then I won't be back and Glasgow airport you are providing a garbage service which people are paying good money for!,Anger,Disgust
but if you are asking a lot of money you should offer a much better experience. I wouldn't recommend it simply because it's not worth the money.,Disgust,
"But if you go there solely for a pleasant walk in the woods, you won't be disappointed, and the friendly farm animals will be a lovely bonus.",Trust,
"BUT it feels like a genuine, caring place where the staff do some really good work for seals.",Trust,
"But it's good food served by attentive staff, so I have no bother recommending this restaurant.",Trust,
"but overall it was clean, bright, good value for money, friendly staff, attentive life guards and not too busy.",Anticipation,
But the best and friendliest is a Piece of Cake- Arlene and her crew turn out the most delightful sweet and savory treats!!,Joy,
"But this week, when we called, we found the tea room had changed, new staff who were very pleasant as always, and good food.",Joy,Trust
But to lay a guilt trip on people and then be guarding the exits shaking buckets left a bad taste in my mouth.,Disgust,
But we came away feeling like we had wasted our money we found out nothing about the birds other than their names and a few naff facts.,Anger,
but we really enjoyed our time at the zoo and in the end felt we got value for money.,Joy,
but we would like some money back as we are not very happy with the experience and it certainly has spoilt our celebrations.,Anger,
"but when we put our money into the machine it ate the money, refused to unlock the gate and then didn't give our money back.",Anger,
But when you spend a lot of money for a spa day in April you at least expect to enjoy the facilities on offer.,Anger,Disgust
"Buy some wonderfully newly cooked bread at the bakers the smell us wonderful, or some sweets in the sweet shop.",Anticipation,
By the end of our trip I was livid that the entry fee is £30 per person terrible value for money.,Disgust,
Cafe and shop staff were very helpful and pleasant and enjoyed our food.,Trust,
Cafe was also excellent - good food and friendly helpful staff.,Joy,
Cafe well prepared for Covid-19 restrictions and felt quite safe and happy to purchase food here.,Trust,
"Came and watched the only fools and horses musical, words can't describe how brilliant this musical production is!",Surprise,
"Came for a spa day with my Mum and was greeted by a lovely friendly receptionist and at first, impressions were good.",Anticipation,
Came here on a lovely warm day the garden is lovely with lots of lovely plants and wildlife to watch.,Surprise,
"Came here with a young child and were delighted at the grounds, gardens, play area, and very good cafe.",Trust,
Came here with my wife after having a meal to celebrate our birthdays and the birth of our new grandson and found it very chilled out in a pleasant atmosphere.,Joy,
Castle enthusiasts like me will quite enjoy it and access to the top of one of the towers is a bonus.,Surprise,
"Changing rooms disgusting, locker area even worse, doors hanging off and just piles of dirt.",Disgust,
"Children can have fun exploring the 'wilderness' garden, and there are often trails and art activities to keep them happy too.",Joy,
Children enjoyed the 18 meter high walkway in the tree tops which was swaying in the wind!,Sadness,
"Children enjoyed the fairy tale feel, and the orchard provided a lovely site for a picnic lunch.",Joy,
Children particularly enjoyed the Easter Treasure Hunt and were well rewarded with chocolate on completion!,Joy,
Children were kept busy all the time and were happy and food was good and the children enjoyed themselves.,Joy,
"Children will enjoy the woodland with its tree house, the adventure playground in Dairy wood.",Joy,
Children would also find it fun to explore as we saw a few children enjoying it and they are not expected to just be quiet.,Joy,Surprise
Chris the instructor was very good and made the experience fun whilst giving good instruction.,Trust,
"Clean changing rooms, excellent life guard awareness, pleasant and helpful reception staff, all good!",Trust,
Clean pleasant grounds to enjoy a picnic lunch with lovely back drop.,Joy,
"Clean, nice cars, friendly staff and text confirmation which is good for peace of mind.",Joy,
Clearly council resources being spent on parking attendants to generate income and not groundsmen to keep site clean.,Anger,Disgust
Club shop excellent and girls are always happy smiling and helpful as well as being pretty cute.,Joy,
Coaches are so patient with the children and enthusiastic and the smiles from the children with their achievements is just so lovely to see.,Trust,
"Coffee and hot chocolate were good, we didn't eat but the food looked pretty good.",Trust,
Coffee machine offered mocha but found that rather sickly more like hot chocolate.,Disgust,
Coffee shop is the cherry on the top .....a place to relax surrounded by the trees and an opportunity to watch the wildlife.,Joy,
Come on Eurotunnel you are taking our money a Year in advance and treating us pretty shabbily.,Anger,
"Considering it's such an old zoo, it did not feel in any way out-dated, in fact it felt like a very modern zoo.",Surprise,
"Contrary to other reviews we both felt the food was excellent, really tasty and good honest food!",Joy,Surprise
"Couldn't recommend him more highly, felt like I was getting a personal trainer, physio and doctor all in one!",Trust,
"Credit to the staff, they were very understanding, and very helpful, and I felt sorry for them too as they were all doing the best they could and were also suffering for it!",Joy,
"Crowded, noisy and not relaxing, the pool facilities felt more like a local council leisure center and not a spa.",Disgust,
"Customer service was disgusting, in total we spent just under 2000 pounds at the spa and were treat like this.",Anger,
"Dawn was so warm, friendly and knowledgeable, while also inspiring immediate respect, confidence and admiration.",Joy,
Definitely a good value for money and to our surprise we were greeted with a birthday card and prosecco for my mum.,Surprise,
"Despite all of this we had a good time due to the location, the weather was good so we were on the beach and enjoyed our time relaxing on our balcony.",Joy,
Despite all this criticism I enjoyed spending a little time there and hope it may grow into something more impressive with time.,Anticipation,
Despite offering to pay the difference the older lady serving wanted me to pay again for the hot chocolate.,Surprise,
Didn’t bother staying for desert as we felt we had wasted enough money.,Anger,
Didn’t find the spa experience relaxing at all wasn’t the tranquil environment you were led to believe and what I had paid for.,Anger,
"Dirty trainers and body warmers, like a canteen, food served on chip shop trays.",Disgust,
"Disappointed in Liberty's, will never shop there again, would not recommend buying anything from there and will warn all family & friends of my experience.",Anger,Disgust
Disgusting how they have treated everyone and what has gone from being a family treat to a total nightmare and costing us so much money.,Disgust,
Disgusting way to treat visitors by a charitable trust who no doubt will blame the parking company they have employed to do this.,Anger,
"Do not waste your money on this so called Zoo, I feel that £26 to see what we saw and spending the day in the playparks was a joke.",Anger,
"DO NOT WASTE YOUR MONEY, QUITE SIMPLY THE WORST ZOO (or visitor attraction) I HAVE VISITED IN YEARS.",Anger,
"Do not worry if you have no experience or feel nervous, as the team at Fore adventure make you feel so welcome and confident!",Trust,
"Doesn't have that 'zoo' 'uneasy' feel about it, and you feel like the animals genuinely have enough space to have a good life.",Trust,
"Dogs were very happy, the cafe was ok, and food was good value. It is a lovely and peaceful place to walk.",Trust,
Done it for a birthday treat for my partner had a lovely time and really good instructors made it such a laugh.,Joy,Trust
Don't feel very well treated by customer service in spa who said it had just been changed.,Anger,
Don't waste your money on the tour we felt it was sadly poor quality and we were very disappointed.,Sadness,
Don't waste your money on this park - I hope they sort this mess out so more people don't feel cheated.,Anger,
"Don't waste your money, that's £30 and tank of petrol wasted on a rubbish 'zoo'!",Anger,
"Drag is an art that takes years to perfect, but for the money we paid and what we were told to expect, we did ... expect more.",Sadness,
Dreadful dreadful badly executed and ridiculously planned out with far too much time wasted waiting around.,Anger,
"Each time I was embarrassed, felt like I was being accused of stealing and felt pressured to pay another £10.",Disgust,
Efficient staff serve generous portions of well-cooked and presented food.,Trust,
"Ellie was the perfect host; attentive, efficient, chatty & service with a smile (a credit to the white swan).",Joy,
Emirates Airlines' Cable Car provides a wonderful experience complementing their inflight experience.,Surprise,
Enjoyed a day in the sun with well organised friendly and happy bonus parade through London.,Joy,
Enjoyed a day walking in the park beautiful grounds and the grand children enjoyed getting lost in the maze.,Joy,
Enjoyed a good cup of coffee here in a lovely setting served with a smile.,Trust,
Enjoyed a good lunch there at a reasonable price which was good and enjoyed some good weather and lovely views.,Joy,
Enjoyed a great show at the congress have been to two other shows at this theatre and found the seating very good,Joy,
"Enjoyed a lovely walk here by the lake, finished off with a picnic and some time for the children in the fabulous large play area.",Surprise,
"Enjoyed an excellent meal in the cafe which has a good selection of eats and drinks and very good, helpful, friendly staff.",Joy,
"Enjoyed climbing up the tower, and exploring the castle grounds, pleasant picnic area.",Joy,
"Enjoyed feeding calves & grown on lambs, and watching the staff working hard cleaning the calves out.",Surprise,
Enjoyed good coffee and delicious cakes served by friendly and helpful ladies with good safety measures.,Joy,
Enjoyed our visit not bad price seal show was good the pirate hunt is good for small children.,Joy,
"Enjoyed the films about the expedition, got a good feel for what it must have been like and walking round the ship was fun.",Joy,
Enjoyed the lovely cafe and it was a thrill to take time out in a true castle room with a lovely open fire.,Surprise,
"Enthusiastic about last year's brilliant event, we extended our invite to more friends - promising a brilliant evening.",Anticipation,
"Even the shop assistants were friendly and chatty, especially the young lady with the sweet shop who was lovely.",Surprise,
"Even though you were not there during the war, you feel the pain and deprivation those people felt.",Disgust,
Even when you do eventually gain her attention then do not expect the usual cheerfulness expected when dealing with the public!,Anger,
"Every time I visit the cafe, I feel disappointment and hope the next time it will improve.",Surprise,
"Everyone has a good time and the children end up tired but happy, very good value for money.",Joy,
"Everyone in the barn was lovely, helpful and engaging, we left smiling and happy.",Trust,
"Everyone turned to look at us in a rather derogatory manner, and I felt very much for my husband who felt humiliated.",Fear,
"Everyone we spoke to was happy, kind and helpful, and as they are all volunteers they all deserve a huge THANK YOU for doing such a brilliant job.",Trust,
"Everything about this place is shabby, paint , general worn feeling but the best was the food court.",Disgust,
Everything felt quite dirty and I did not feel confident that the member of staff massaging was fully qualified.,Anger,
Everything needs a really good clean and they need to improve their cleaning system as it's just not good enough at the moment.,Anticipation,
Everything seems to be about generating cash once through the door and you have paid it is still pay pay pay,Anger,
Everything that suggests it is being milked for cash and nobody is really interested in providing a memorable experience.,Sadness,
"Excellent architecture, good tour guide, center of town, free for students, good atmosphere.",Joy,
"Excellent best birthday present I have ever had, very good instructions, from the instructor, overall an excellent day.",Surprise,
Excellent food in the cafe with good gluten free options - very friendly and helpful.,Joy,
"Excellent gardens, two moats, lovely tearoom with wonderful and friendly helpful staff.",Trust,
Excellent instructor 'Stu' was helpful and encouraging and showed a real passion for skiing and teaching.,Trust,Joy
"Excellent lesson from top instructor Robert, very good patient teacher, made the lesson fun.",Trust,
"Excellent selections of organic soaps and lotions, very obliging and helpful staff, nice place for treats or presents.",Trust,
Excellent service would advise anyone to visit the aspire the lounge good food and excellent service,Joy,
"Excellent visit, good value for money and great experience, helpful and friendly staff!",Trust,
"Excellent volunteers guide you through the grounds and bring alive the various features, plants and trees.",Joy,
